CustomerID,recency_days,frequency,monetary_value,R,F,M,segment
16738,297,1,3.75,1,1,1,Lost
14792,63,1,6.2,3,2,1,Others
16454,44,2,6.9,3,3,1,Others
17956,249,1,12.75,1,1,1,Lost
16878,84,1,13.3,2,2,1,Others
15823,372,1,15,1,1,1,Lost
17763,263,1,15,1,1,1,Lost
13307,120,1,15,2,1,1,Others
16093,106,1,17,2,1,1,Others
17986,56,1,20.8,3,2,1,Others
16953,30,1,20.8,4,2,1,Promising
17102,261,1,25.5,1,1,1,Lost
18268,134,1,25.5,2,1,1,Others
15657,22,1,30,4,2,1,Promising
13120,238,1,30.6,1,1,1,Lost
17408,163,1,32.65,2,1,1,Others
16765,294,1,34,1,1,1,Lost
15744,77,1,34.8,2,2,1,Others
14576,372,1,35.4,1,1,1,Lost
17831,33,1,35.4,3,2,1,Others
16856,14,1,35.4,4,2,1,Promising
15940,311,1,35.8,1,1,1,Lost
17816,36,4,36.56,3,4,1,Others
16162,252,1,37.4,1,1,1,Lost
12855,372,1,38.1,1,1,1,Lost
18019,51,1,38.45,3,2,1,Others
16659,189,1,39.12,1,1,1,Lost
12977,156,1,39.24,2,1,1,Others
14589,371,1,39.75,1,1,1,Lost
15178,260,1,40.5,1,1,1,Lost
15992,3,1,41.99,5,2,1,Promising
14300,18,1,43.2,4,2,1,Promising
15423,38,1,43.5,3,2,1,Others
14080,32,1,45.6,3,2,1,Others
16257,176,1,46.95,2,1,1,Others
15603,78,1,48.48,2,2,1,Others
14821,366,1,48.8,1,1,1,Lost
18184,15,1,49.8,4,2,1,Promising
13011,372,1,50.55,1,1,1,Lost
14351,164,1,51,2,1,1,Others
17844,106,1,51.56,2,1,1,Others
15313,110,1,52,2,1,1,Others
14682,187,2,52,1,2,1,Lost
13832,19,1,52.2,4,2,1,Promising
14865,7,2,52.2,5,3,1,Others
15504,81,1,52.83,2,2,1,Others
16349,290,1,53.5,1,1,1,Lost
13366,50,1,56.16,3,2,1,Others
15899,368,1,56.25,1,1,1,Lost
17775,254,1,56.4,1,1,1,Lost
13080,179,1,58.08,1,1,1,Lost
14957,253,1,58.49,1,1,1,Lost
13682,187,1,59.5,1,1,1,Lost
13391,203,1,59.8,1,1,1,Lost
17174,217,1,59.9,1,1,1,Lost
13194,135,1,60.7,2,1,1,Others
15516,44,3,62.43,3,3,1,Others
13218,127,1,62.64,2,1,1,Others
14840,267,1,62.85,1,1,1,Lost
14437,365,1,63,1,1,1,Lost
12665,324,1,63,1,1,1,Lost
17263,208,1,63.44,1,1,1,Lost
13302,155,1,63.75,2,1,1,Others
13130,94,1,64,2,1,1,Others
17382,65,1,65.4,3,2,1,Others
13684,285,1,67.23,1,1,1,Lost
14393,218,1,67.95,1,1,1,Lost
15863,25,2,68.84,4,3,1,Others
18037,154,6,70.02,2,5,1,"At Risk"
17022,31,1,71,4,2,1,Promising
13185,267,1,71.4,1,1,1,Lost
17747,112,1,71.4,2,1,1,Others
13938,35,1,71.66,3,2,1,Others
13686,182,1,72,1,1,1,Lost
17906,247,1,72.9,1,1,1,Lost
16171,59,1,73.2,3,2,1,Others
18032,334,1,73.5,1,1,1,Lost
12506,232,1,73.5,1,1,1,Lost
17960,171,1,73.78,2,1,1,Others
18050,359,1,74.4,1,1,1,Lost
13095,70,1,74.4,3,2,1,Others
16468,74,1,74.9,2,2,1,Others
13403,17,1,75,4,2,1,Promising
16610,219,1,75.66,1,1,1,Lost
17628,81,1,75.75,2,2,1,Others
17995,281,1,76.1,1,1,1,Lost
18113,368,1,76.32,1,1,1,Lost
14090,324,1,76.32,1,1,1,Lost
16148,296,1,76.32,1,1,1,Lost
15668,217,1,76.32,1,1,1,Lost
17536,177,1,76.5,2,1,1,Others
13106,133,1,76.5,2,1,1,Others
14373,358,1,76.55,1,1,1,Lost
13992,30,1,76.8,4,2,1,Promising
13132,261,1,77.3,1,1,1,Lost
14785,10,2,77.4,5,3,1,Others
17942,7,1,77.5,5,2,1,Promising
15753,304,1,79.2,1,1,1,Lost
16078,283,1,79.2,1,1,1,Lost
13747,373,1,79.6,1,1,1,Lost
17752,359,1,80.64,1,1,1,Lost
13967,145,1,80.7,2,1,1,Others
16789,8,1,80.8,5,2,1,Promising
18281,180,1,80.82,1,1,1,Lost
17620,59,1,81.44,3,2,1,Others
13006,56,1,81.57,3,2,1,Others
17309,95,1,82.75,2,1,1,Others
12401,303,1,84.3,1,1,1,Lost
13666,60,3,84.65,3,3,1,Others
13841,252,1,85,1,1,1,Lost
15729,212,1,85,1,1,1,Lost
15541,114,1,85.13,2,1,1,Others
13296,137,1,87.4,2,1,1,Others
